FACAO                    ;20 POLEGADAS TRAMONT;14094;BA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;59,8
FACAO                    ;60 CM, COM CABO DE M;14905;CE        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;58,0
FACAO                    ;20 POLEGADAS TRAMONT;14094;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;80,0
FACAO                    ;18 POLEGADAS CORNETA;12902;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;70,0
FACAO                    ;58 CM TRAMONTINA    ;11611;MA        ;NORDESTE       ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;30,0
FACAO                    ;NÃO INFORMADO       ;11610;MG        ;SUDESTE        ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;67,0
FACAO                    ;NÃO INFORMADO       ;11610;MT        ;CENTRO-OESTE   ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;45,0
FACAO                    ;18 POLEGADAS CORNETA;12902;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;60,0
FACAO                    ;NÃO INFORMADO       ;11610;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;60,0
FACAO                    ;58 CM TRAMONTINA    ;11611;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;50,0
FACAO                    ;22 POLEGADAS        ;14982;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;75,0
FACAO                    ;20 POLEGADAS TRAMONT;14094;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;70,0
FACAO                    ;COM BAINHA COLLINS  ;13893;PA        ;NORTE          ;2025;7;PREÇO PAGO PELO PRODUTOR                                    ;120,0
